Winner,Welo,Belo,turncount,PawnAdv10,KnightAdv10,BishopAdv10,RookAdv10,QueenAdv10,PawnAdv20,KnightAdv20,BishopAdv20,RookAdv20,QueenAdv20,PawnAdv30,KnightAdv30,BishopAdv30,RookAdv30,QueenAdv30,PawnAdv,KnightAdv,BishopAdv,RookAdv,QueenAdv,nool
W,2838,2349,69,0,0,1,0,0,-1,0,1,0,0,-1,0,1,0,0,-12,-9,2,12,1,
D,2838,2717,58,-1,0,0,0,0,-1,-1,0,0,0,-1,-1,0,0,-1,-1,-1,0,0,-1,
D,2838,2802,37,-1,0,0,0,0,-5,0,0,0,0,-5,-1,-1,0,0,-4,-1,0,0,0,
W,2838,2612,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-5,0,0,
W,2838,2631,85,-1,0,0,0,0,-1,1,0,0,0,-1,1,0,0,0,73,0,12,-67,35,
D,2838,2802,143,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,49,40,48,-69,1,
W,2838,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,
W,2838,0,31,0,0,0,0,0,6,0,1,0,0,17,1,1,0,0,18,1,2,0,0,
B,2838,2711,72,0,0,0,0,0,0,-1,0,0,0,1,-11,10,0,0,-5,-41,40,1,0,
W,2838,2802,99,2,0,0,0,0,3,0,0,0,0,3,0,0,0,0,24,-41,39,0,-1,
W,2838,0,100,0,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,44,-10,45,-34,-1,
D,2838,2722,89,0,0,0,0,0,0,-5,5,0,0,0,-5,6,0,0,4,-5,6,0,-3,
W,2838,2531,67,-1,0,0,0,0,-1,0,0,0,0,-1,1,0,0,0,-14,0,1,0,0,
W,2838,2551,73,-1,0,0,0,0,-1,-3,0,0,1,-1,-3,0,0,1,12,-12,11,-1,1,
W,2838,2675,67,-1,0,0,0,0,-1,-1,0,0,0,-1,-1,0,0,0,18,-17,0,15,0,
D,2838,2743,53,0,0,0,0,0,0,0,0,0,0,-4,0,0,0,0,-24,-12,22,0,0,
W,2838,0,51,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,17,12,-10,0,0,
D,2838,2802,48,0,0,0,0,0,2,1,0,0,0,2,1,1,0,-1,2,0,1,1,-1,
D,2838,2711,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,
W,2838,2742,93,3,0,0,0,0,3,0,0,0,0,4,-1,0,0,0,-38,-20,49,-18,-1,
W,2838,2697,59,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,22,3,-1,0,0,
D,2838,2757,83,-1,0,0,0,0,-1,1,0,0,0,-1,-6,8,0,0,9,-59,62,0,0,
W,2838,2574,105,1,0,0,0,0,1,0,0,0,0,1,0,-1,0,0,17,-55,54,0,0,
W,2838,0,59,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,-3,0,0,0,
W,2838,2667,131,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,119,60,-70,-1,-2,
